No.,book_name,author,publishing-house,date,price,score,url,comment
56,寻路中国:从乡村到工厂的自驾之旅,[美] 彼得·海斯勒,上海译文出版社,2011,33.0,9.0,https://book.douban.com/subject/5414391/,如果说一两百年前中国在西方人眼里的典型形象是“停滞的帝国”，那么现在大概就趋于另一极端：一个不停快速变化的国度。悖论的是，可能由于生活在其中，或过于热爱速度，中国人自己对这个魔幻现实主义的中国，有时看得还不如外国人清楚。和他的前两本著作《江城》、《甲骨文...
57,树上的男爵,[意大利]伊塔洛·卡尔维诺,译林出版社,2012,30.0,9.1,https://book.douban.com/subject/6789605/,“一个人只有远离人群，才能真正和他们在一起。”这是卡尔维诺在《树上的男爵》一书中出的最大谜题。要想解开这个谜题，必须要从五个关键词入手，它们是“疏离”、“坚守”、“孤独”、“爱情”和“完整”。一、疏离《树上的男爵》的故事大意是：为了捍卫自我的完整，反抗家...
58,刀锋,[英]毛姆,上海译文出版社,2007,18.0,9.0,https://book.douban.com/subject/2035162/,二楼电梯：http://book.douban.com/review/1400528/?start=100#comments上个星期见缝插针回了趟老家，虽然时间很短，但是无比放松，一直窝在家里腐败。回家的第二天早上，花生兴冲冲去实现夙愿。他拉着我大步流星走到附近一间门面相当肮脏的小吃店，没进门就说：“馄饨两碗...
59,格林童话全集,[德国]格林兄弟,人民文学出版社,1994,21.45,9.1,https://book.douban.com/subject/1043008/,给弟弟妹妹以至于小侄子们这样的小孩讲故事是件苦差，因为他们对结局总不满意。当故事开始时活色生香的主角或生或死的演完戏码之后，他们还是会把一些讲述者自己都没在意的细节寻找出来，真诚的追问：“那后来呢？”如果你讲完一个最完美不过的故事——巫婆被扔进了白菜窖，黑...
60,无人生还,[英] 阿加莎・克里斯蒂,人民文学出版社,2008,19.0,9.0,https://book.douban.com/subject/3006581/,看了阿婆很多本书之后终于买了这本著名的《无人生还》，听说是阿婆的代表作，但是看完之后只能说，有些失望，不为别的，就是为那些或重或轻的逻辑性bug，大致地翻了翻书评，也没看到太多能解惑的。1.书中写到‘岛上的死亡顺序是经过我深思熟虑之后悉心安排的’，也就是说法...
61,中国少年儿童百科全书（全四册）,林崇德 主编,浙江教育出版社,1991,168.0,9.4,https://book.douban.com/subject/1028409/,呵呵，当时那个网络不甚发达的时代，这四本书几乎解决了我的所有疑问。也许有些夸张，但绝对有过之而无不及。于是天天翻看，导致的最终结果就是书烂了，真的是硬生生被看坏的，哈哈。。。可惜现在再想买，已经没有以前那种版本的了。。内容上也毫无新意，可能是人长大了，评判...
62,西游记（全二册）,吴承恩,人民文学出版社,2004,47.2,9.1,https://book.douban.com/subject/1029553/,这篇文章意图反驳两种西游解读：——《西游记》是一个“黑暗的恐怖故事”，反映了人性最黑暗的部分；周星驰拍的暗黑西游才是“真正的西游记”。——孙悟空是一个反抗失败的悲剧英雄；唐僧是“封建大家长”；《西游记》是在反叛的外衣下宣扬“封建伦理纲常”；周星驰的颠覆...
63,鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013,34.0,9.1,https://book.douban.com/subject/24257229/,前天有一位朋友对我说他觉得大学四年他是堕落了，我们很多人特别是那些认真生活的人都会有这种负罪感。也许在这样的和平年代，个人的生活才显得如此重要。在加缪的小说《鼠疫》中，那些身处瘟疫中的人们大概不会为这种事情烦恼，因为更大更深刻的痛苦和恐惧摄住了它们的身心和...
64,嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2008,28.0,8.9,https://book.douban.com/subject/3211779/,这篇书评可能有关键情节透露重读一本第一遍阅读无比激动的书还是很有好处的，就像猪八戒细细品尝人参果，又像西门庆慢慢调弄葡萄架下的潘金莲。没有初次的那种饥饿感，也知道哪里有寻幽访胜的好处。但初衷往往都是为了狠狠地再纵欲一次然后彻底遗忘，就像危险的关系里伯爵夫人说的，除非想和对方分手...
65,黄金时代:时代三部曲,王小波,花城出版社,1999,19.0,8.9,https://book.douban.com/subject/1089243/,波哥的小说《黄金时代》最后两段是这么写的：“陈清扬说她真实的罪孽，是指在清平山上。那时她被架在我的肩上，穿着紧裹住双腿的筒裙，头发低垂下去，直到我的腰际。天上白云匆匆，深山里只有我们两个人。我刚在她屁股上打了两下，打得非常之重，火烧火撩的感觉正在飘散。打...
